Word,Old Testament,New Testament,Apocrypha,Total
arieh,1,0,0,1
ariel,4,0,0,4
aright,5,0,10,15
arimathaea,0,4,0,4
arioch,6,0,1,7
arisai,1,0,0,1
arise,118,29,11,158
ariseth,7,4,2,13
arising,1,0,0,1
aristarchus,0,5,0,5
aristobulus,0,0,1,1
aristobulus',0,1,0,1
ark,193,6,6,205
arkite,2,0,0,2
arm,58,4,11,73
armageddon,0,1,0,1
armed,28,1,8,37
armenia,2,0,0,2
armholes,2,0,0,2
armies,38,5,9,52
armoni,1,0,0,1
armour,19,5,17,41
armourbearer,14,0,1,15
armoury,3,0,0,3
arms,24,3,8,35
army,70,3,53,126
arnan,1,0,0,1
arnon,23,0,0,23
arod,1,0,0,1
arodi,1,0,0,1
arodites,1,0,0,1
aroer,16,0,0,16
aroerite,1,0,0,1
arom,0,0,1,1
arose,117,52,18,187
arpad,4,0,0,4
arphad,2,0,0,2
arphaxad,9,1,4,14
array,29,1,6,36
arrayed,4,7,3,14
arrived,0,2,0,2
arrogancy,4,0,0,4
arrow,14,0,5,19
arrows,39,0,2,41
arsaces,0,0,3,3
arsareth,0,0,1,1
art,329,122,102,553
artaxerxes,13,0,0,13
artaxerxes',1,0,0,1
artemas,0,1,0,1
artexerxes,0,0,15,15
articles,0,0,2,2
artificer,2,0,2,4
artificers,2,0,0,2
artillery,1,0,1,2
arts,0,1,0,1
aruboth,1,0,0,1
arumah,1,0,0,1
arvad,2,0,0,2
arvadite,2,0,0,2
arza,1,0,0,1
as,2007,865,731,3603
asa,51,2,0,53
asa's,1,0,0,1
asadias,0,0,1,1
asael,0,0,1,1
asahel,17,0,0,17
asahiah,2,0,0,2
asaiah,6,0,0,6
asana,0,0,1,1
asaph,28,0,3,31
asaph's,1,0,0,1
asareel,1,0,0,1
asarelah,1,0,0,1
ascalon,0,0,4,4
ascend,9,4,0,13
ascended,10,9,0,19
ascendeth,0,2,0,2
ascending,2,3,2,7
ascent,4,0,0,4
ascents,0,0,1,1
ascribe,3,0,2,5
ascribed,1,0,0,1
aseas,0,0,1,1
asebebia,0,0,1,1
asebia,0,0,1,1
asenath,3,0,0,3
aser,0,2,1,3
aserer,0,0,1,1
ash,1,0,0,1
ashamed,87,24,17,128
ashan,4,0,0,4
ashbea,1,0,0,1
ashbel,3,0,0,3
ashbelites,1,0,0,1
ashchenaz,2,0,0,2
ashdod,18,0,0,18
ashdodites,1,0,0,1
ashdothites,1,0,0,1
ashdothpisgah,3,0,0,3
asher,41,0,0,41
asherites,1,0,0,1
ashes,38,4,18,60
ashima,1,0,0,1
ashkelon,8,0,0,8
ashkenaz,1,0,0,1
ashnah,2,0,0,2
ashpenaz,1,0,0,1
ashriel,1,0,0,1
ashtaroth,11,0,0,11
ashterathite,1,0,0,1
ashteroth,1,0,0,1
ashtoreth,3,0,0,3
ashur,2,0,0,2
ashurites,2,0,0,2
ashvath,1,0,0,1
asia,0,20,8,28
asibias,0,0,1,1
aside,57,12,10,79
asiel,1,0,1,2
asipha,0,0,1,1
ask,44,59,20,123
asked,48,65,16,129
askelon,3,0,0,3
askest,1,2,4,7
asketh,4,6,2,12
asking,3,4,0,7
asleep,4,12,2,18
asmodeus,0,0,2,2
asnah,1,0,0,1
asnapper,1,0,0,1
asom,0,0,1,1
asp,1,0,0,1
aspalathus,0,0,1,1
aspatha,1,0,0,1
asphar,0,0,1,1
aspharasus,0,0,1,1
asps,3,1,0,4
asrias,0,0,1,1
asriel,2,0,0,2
asrielites,1,0,0,1
ass,69,7,2,78
ass's,3,1,0,4
assabias,0,0,1,1
assalimoth,0,0,1,1
assanias,0,0,1,1
assault,1,1,3,5
assaulted,0,1,6,7
assaulting,0,0,3,3
assay,1,0,1,2
assayed,2,2,0,4
assaying,0,1,0,1
assemble,20,0,1,21
assembled,28,9,18,55
assemblies,6,0,0,6
assembling,1,1,0,2
assembly,44,5,8,57
assent,1,0,0,1
assented,0,1,0,1
asses,60,0,1,61
asshur,8,0,0,8
asshurim,1,0,0,1
assideans,0,0,3,3
assign,0,0,1,1
assigned,3,0,0,3
assir,5,0,0,5
assist,0,1,1,2
assisting,0,0,1,1
associate,1,0,0,1
assos,0,2,0,2
assuerus,0,0,1,1
assur,2,0,12,14
assurance,2,5,1,8
assure,0,1,0,1
assured,2,1,4,7
assuredly,7,2,1,10
asswage,1,0,1,2
asswaged,2,0,0,2
assyria,108,0,2,110
assyrian,13,0,0,13
assyrians,10,0,20,30
assyrians',0,0,1,1
astaroth,1,0,0,1
astath,0,0,1,1
astonied,10,0,0,10
astonished,15,19,12,46
astonishment,20,1,2,23
astray,14,4,2,20
astrologer,1,0,0,1
astrologers,8,0,0,8
astyages,0,0,1,1
asunder,13,8,4,25
asuppim,2,0,0,2
asyncritus,0,1,0,1
at,1067,369,324,1760
atad,2,0,0,2
atarah,1,0,0,1
atargatis,0,0,1,1
ataroth,5,0,0,5
atarothadar,1,0,0,1
atarothaddar,1,0,0,1
ate,2,1,3,6
ater,5,0,0,5
aterezias,0,0,1,1
athach,1,0,0,1
athaiah,1,0,0,1
athaliah,17,0,0,17
atharias,0,0,1,1
athenians,0,1,0,1
athenobius,0,0,3,3
athens,0,5,2,7
athirst,2,3,1,6
athlai,1,0,0,1
atipha,0,0,1,1
atonement,69,1,3,73
atonements,1,0,0,1
atroth,1,0,0,1
attai,4,0,0,4
attain,4,2,3,9
attained,5,5,0,10
attalia,0,1,0,1
attalus,0,0,1,1
attempt,0,0,1,1
attempted,0,0,1,1
attempts,0,0,2,2
attend,10,1,1,12
attendance,2,2,1,5
attended,2,1,1,4
attendeth,0,0,1,1
attending,0,1,0,1
attent,2,0,0,2
attentive,4,1,1,6
attentively,1,0,0,1
attharates,0,0,1,1
attire,3,0,2,5
attired,1,0,0,1
audience,7,5,1,13
augia,0,0,1,1
augment,1,0,0,1
augmentation,0,0,1,1
augustus,0,3,0,3
augustus',0,1,0,1
aul,2,0,0,2
aunt,1,0,0,1
auranus,0,0,1,1
austere,0,2,0,2
auteas,0,0,1,1
author,0,3,4,7
authorities,0,1,0,1
authority,2,32,19,53
authors,0,0,2,2
ava,1,0,0,1
availeth,1,3,1,5
avaran,0,0,1,1
aven,3,0,0,3
avenge,11,6,6,23
avenged,13,3,7,23
avenger,8,1,1,10
avengers,0,0,1,1
avengeth,2,0,0,2
avenging,3,0,0,3
averse,1,0,0,1
avim,1,0,0,1
avims,1,0,0,1
avites,2,0,0,2
avith,2,0,0,2
avoid,1,4,5,10
avoided,1,0,2,3
avoiding,0,2,0,2
avouched,2,0,0,2
await,0,1,0,1
awake,26,6,2,34
awaked,8,0,6,14
awakest,2,0,0,2
awaketh,2,0,2,4
awaking,0,1,0,1
aware,2,3,1,6
away,657,198,194,1049
awe,3,0,1,4
awoke,6,2,0,8
ax,0,0,1,1
axe,9,2,0,11
axes,7,0,0,7
axletree,0,0,1,1
axletrees,2,0,0,2
azael,0,0,1,1
azaelus,0,0,1,1
azal,1,0,0,1
azaliah,2,0,0,2
azaniah,1,0,0,1
azaphion,0,0,1,1
azarael,1,0,0,1
azaras,0,0,1,1
azare,0,0,1,1
azareel,5,0,0,5
azariah,45,0,0,45
azarias,0,0,14,14
azaz,1,0,0,1
azaziah,3,0,0,3
azbazareth,0,0,1,1
azbuk,1,0,0,1
azekah,7,0,0,7
azel,4,0,0,4
azem,2,0,0,2
azephurith,0,0,1,1
azetas,0,0,1,1
azgad,4,0,0,4
azia,0,0,1,1
aziei,0,0,1,1
aziel,1,0,0,1
aziza,1,0,0,1
azmaveth,8,0,0,8
azmon,3,0,0,3
aznothtabor,1,0,0,1
azor,0,2,0,2
azotus,0,1,11,12
azriel,3,0,0,3
azrikam,6,0,0,6
azubah,4,0,0,4
azur,2,0,0,2
azuran,0,0,1,1
